entry,hashed_audio_file,pos,gloss_chinese,gloss_pinyin,category,note,cross_ref,root
ʔa vo55,3c61bf5902241c7c.wav,名詞,姨（比媽媽年長）,yi2,Kinship,,,
ʔa21 kuŋ55,,名詞,爺爺、外公,"ye2 ye2, wai4 gong1",Kinship,,,
ʔian24,45b72aa9909528a9.wav,形容詞,好吃,hao3 chi1,Adjectives & Verbs,[ʔien],,
ʔa21 ko55,73cba3f933b91162.wav,名詞,哥,ge1,Kinship,也作 ko24,,
ʔa21 nɛʔ55,4358b81c8c9f79e3.wav,名詞,（外）祖母,(wai4) zhu3 mu3,Kinship,,,
ʔek55,,動詞,拿,ti2; na2; gei3,Adjectives & Verbs,,,
ʔo33 nam21,51f5b4ebd2efd531.wav,動詞,喝水,he1 shui3,Adjectives & Verbs,,,
ʔo44,438ec7335fd62f2b.wav,動詞,喝,he1,Adjectives & Verbs,,,
ʔun24,,形容詞,（年紀）輕，約莫十來歲,qing,Adjectives & Verbs,,,
ʔɔt55,,數詞,一,yi1,Miscellaneous,,,
ʔa21 ɓaʔ55,,名詞,父親,fu4 qin1,Kinship,也作 Ɂa21 ɗɛ24,,
ʔa21 ɓeʔ55,ab9a560db34ae72d.wav,名詞,舅（比媽媽年長）,jiu4,Kinship,,,
ʔiŋ24,6bff4e619df76624.wav,動詞,賣,mai4,Adjectives & Verbs,,,
ʔot21,8cb1872ee1f67c9e.wav,名詞,粽子,cong4 zi,Food,,,
ʔɔu213,fd4585daa44fbdaf.wav,動詞,給、拿,gei3; na2,Adjectives & Verbs,,ʔek,
ʔɛk55,ad6a14258f50a878.wav,名詞,牛軛,niu2 e4,Material Culture,,,
ɓak21 ɗəu44,2a1d93b89abed56d.wav,名詞,門,men2,Material Culture,,,
hɔp33 ɗəu44,4878bb22030e4c87.wav,,關門,guan1 men2,,,,ɓak21 ɗəu44
khɔi213 ɗəu44,ef0dc0a384063e11.wav,,開門,qiao1 men2,,,,ɓak21 ɗəu44
khau213 ɗəu44,f2ad784ab77607b5.wav,,敲門,qiao1 men2,,,,ɓak21 ɗəu44
ɓat21 tɔp33,,數詞,八（十）,ba1,Miscellaneous,,,
ɓat55 tia44,7c3f7ce12570ce10.wav,名詞,茅草,mao2 cao3,Flora,,,
ɓeʔ55,2fa210c0351f0520.wav,名詞,伯,bo2,Kinship,,,
ɓɛi55 zan44,e2eced3e68d6aec8.wav,動詞,回家,hui2 jia1,Adjectives & Verbs,亦作 liŋ213 zan44,,
ɓian213,da367516bf6004d8.wav,動詞,買,mai3,Adjectives & Verbs,[ɓien],,
ɓa21,a58479de37f374eb.wav,名詞,雲,yun2,Nature,,,
ɓa213,,名詞,魚,yu2,Fauna,,,
ɓak21,bd3229872b8d3ac8.wav,名詞,嘴,zui3,Body Parts,,,
ɓan24 mɔ44,,名詞,手掌,shou3 zhang3,Body Parts,,,
ɓat55,b92ed99774b06d83.wav,名詞,草,cao3,Nature,,,
ɓaŋ213,ebde53a1082a1940.wav,形容詞,亮,liang4,Adjectives & Verbs,,,
ɓiaŋ213,c0a76c1811b55418.wav,形容詞,薄,bo2,Adjectives & Verbs,,,
ɓik55,98da3ad5753864b2.wav,名詞,翅膀,chi4 bang3,Fauna,,,
ɓik55,e0d49a48cf0d96d0.wav,方位詞,北,bei3,Directions,,,
ɓɔ44,5abada782c286c18.wav,名詞,葉,ye4,Flora,,,
ɓɔ44 vui44,,,地瓜葉,di4 gua1 ye4,,,,ɓɔ44
ɓɔ44 ɓun44,,,桑葉,sang1 ye4,,,,ɓɔ44
ɓe24 ʔot55,,,粽葉,zong4 ye4,,,,ɓɔ44
ɓɔn213,5a937178230c3790.wav,動詞,飛,fei1,Adjectives & Verbs,,,
ɓɔt55,c71bf01f8033add5.wav,名詞,鴨子,ya1 zi,Fauna,,,
ɓə44 na55,b2fddc734903ac3b.wav,代名詞,誰,shei2,Miscellaneous,,,
ɓɛi55,65c41ec28a6a6f74.wav,動詞,去,qu4,Adjectives & Verbs,,,
ɓɛi55,,動詞,走,zou3,Adjectives & Verbs,,,
ɓɛk55,,數詞,百,bai3,Miscellaneous,,,
ɓiʔ55,dd93a80ab6e28afb.wav,名詞,鱉、甲魚,be1; jia3 yu2,Fauna,,,
ɗau21 laŋ21(3),,名詞,黃蜂,huang2 feng1,Fauna,,,
ɗa(2)13 vɔn44,0fd44cb617e34d10.wav,動詞,太陽,tai4 yang2,Nature,never 213,,
ɗa213 hɔu44,,名詞,膝蓋,xi1 gai4,Body Parts,,,
ɗa213 mɔ44,407441aa319ea112.wav,名詞,手指關節,shou3 zhi3 guan1 jie2,Body Parts,眼睛+手,,
ɗe213 khəu55,d3ce42fbecb93a62.wav,名詞,舅（比媽媽年輕）,jiu4,Kinship,,,
ɗaʔ33,8ef0c3fdc3679d78.wav,形容詞,直,zhi2,Adjectives & Verbs,,,
ɗin24,9b4e2f8935b55a5e.wav,形容詞,淺,qian2,Adjectives & Verbs,,,
ɗom24,ab081dbdde6421bf.wav,形容詞,低、矮,ai3; di1,Adjectives & Verbs,,,
ɗa24 kom21,3dd1f8d2dbcccebf.wav,名詞,晚上,wan3 shang4,Time,,,
ɗa24 kom55,,名詞,深夜,shen1 ye4,Time,,,
ɗa24 tshɔu44,00acc0b029b59fe3.wav,名詞,下午,xia4 wu3,Time,,,
ɗai44 kun55,279289558ff65b61.wav,代名詞,咱們,zan2 men,Miscellaneous,,ɗəu,
ɗak21,,動詞,曬（衣服、穀子、花生）,shai4,Adjectives & Verbs,,,
ɗak21 kho24 zua24,,,曬衣服,,,,,ɗak21
ɗak55 muŋ21,,,曬稻草,,,,,ɗak21
ɗak33,fc33d14cb1a25d72.wav,名詞,繩索,sheng2 suo3,Material Culture,zau213 藤類植物編成的繩子（or地瓜藤）,,
ɗak33,9f91ebdc1c67617e.wav,動詞,洗（頭、衣服）,xi3,Adjectives & Verbs,,tuk,
ɗak33 hau24,9f91ebdc1c67617e.wav,,洗頭,xi3 tou2,,,,ɗak33
ɗak33 kho24 zua24,6f4f6d699e833df3.wav,,洗衣服,xi3 yi1 fu2,,,,ɗak33
ɗe213,cbba05796e312084.wav,名詞,丈夫,zhang4 fu1,Kinship,,,
ɗik55,93f90080adf22306.wav,形容詞,滿,man3,Adjectives & Verbs,,,
ɗin44,25d20321d6fa8fe5.wav,名詞,石頭,shi2 tou2,Nature,,,
ɗon213,511036738a04246e.wav,動詞,閹,yan1,Adjectives & Verbs,,,
kɛi213 ɗon213,511036738a04246e.wav,,閹雞,yan1 ji1,,,,ɗon213
